#Folder,#Total_Energy (eV),#Num_Atoms,#Energy_per_atom (eV)
id284-dim3-aaa-cP120-1.40-9.08-8.47,-1155.66590035,120,-9.630549169583333
id349-dim3-aaa-cF576-1.96-9.05-8.57,-1393.52809004,144,-9.677278403055556
id56-dim2-aaa-aaa-aaa-hR126-2.06-9.21-8.65,-411.60758403,42,-9.800180572142857
id268-dim3-aaa-cF480-1.43-9.08-8.47,-1152.84675788,120,-9.607056315666666
id72-dim2-hnd(2)-mP24-2.03-9.19-8.64,-234.8659829,24,-9.786082620833334
id148-dim3-pbp-l-cI144-1.33-9.14-8.50,-697.79952331,72,-9.691660045972222
id1202-dim3-aaa-cI144-1.88-8.90-8.43,-683.90132296,72,-9.498629485555556
id1100-dim3-aaa-cI120-2.13-8.91-8.47,-573.10540914,60,-9.551756819
id1740-dim3-hed(2)-cP96-2.50-8.85-8.42,-904.69507555,96,-9.423907036979166
id360-dim2-dhh-hcb-mP24-1.84-9.05-8.37,-230.85700865,24,-9.619042027083333
id262-dim3-aaa-cP168-1.11-9.08-8.47,-1618.15766225,168,-9.63189084672619
id672-dim3-aaa-mP24-2.34-8.97-8.52,-228.79981563,24,-9.533325651250001
id334-dim3-aaa-cP168-1.21-9.05-8.42,-1603.1045986,168,-9.542289277380952
id353-dim3-aaa-cP152-1.19-9.05-8.43,-1451.19310011,152,-9.547323027039473
id232-dim3-aaa-cP128-1.41-9.09-8.46,-1232.3248222,128,-9.6275376734375
id509-dim3-aaa-cP192-0.98-9.00-8.39,-1834.06560182,192,-9.552425009479167
id951-dim3-aaa-cI168-1.80-8.93-8.40,-800.41891931,84,-9.52879665845238
id7-dim2-hcb-hP2-2.29-9.36-8.78,-19.84171543,2,-9.920857715
id705-dim3-aaa-aaa-cI336-1.89-8.96-8.41,-1602.428264,168,-9.538263476190476
id470-dim3-aaa-cP152-1.21-9.01-8.40,-1454.38968853,152,-9.568353214013158
id1727-dim3-pbp-l-cP168-1.51-8.85-8.00,-1563.79259638,168,-9.308289264166667
id316-dim3-aaa-cI288-1.25-9.06-8.44,-1375.93101366,144,-9.55507648375
id625-dim3-aaa-cF768-1.04-8.98-8.36,-1834.35238807,192,-9.553918687864583
id564-dim3-hed-cF384-1.35-8.99-8.43,-915.88218879,96,-9.5404394665625
id490-dim3-aaa-cI384-1.21-9.01-8.39,-1840.50091686,192,-9.5859422753125
id800-dim2-cem-a-mS20-1.87-8.95-8.33,-95.70119513,10,-9.570119513
id131-dim3-aaa-cP216-1.03-9.15-8.52,-2094.9604888,216,-9.698891151851852
id369-dim3-aaa-cI192-1.17-9.04-8.41,-918.35170647,96,-9.5661636090625
id100-dim3-aaa-cP192-1.07-9.16-8.54,-1865.73289874,192,-9.717358847604167
id225-dim3-aaa-cI240-1.53-9.10-8.48,-1149.62491263,120,-9.58020760525
id522-dim3-aaa-cP168-0.95-9.00-8.42,-1605.97697602,168,-9.55938676202381
id235-dim3-aaa-cP176-1.20-9.09-8.46,-1686.64343604,176,-9.583201341136364
id62-dim3-aaa-hP42-2.10-9.20-8.62,-407.88860024,42,-9.71163333904762
id245-dim3-aaa-cP216-0.89-9.09-8.47,-2081.8067328,216,-9.637994133333335
id38-dim3-aaa-mP40-2.38-9.28-8.71,-393.10603454,40,-9.8276508635
id6-dim2-hcb-hcb-hP4-2.34-9.36-8.78,-39.73980784,4,-9.93495196
id285-dim3-aaa-cP120-1.42-9.07-8.47,-1155.66732309,120,-9.630561025750001
id512-dim3-aaa-aaa-cI336-2.10-9.00-8.46,-1601.8923307,168,-9.53507339702381
id669-dim3-aaa-cP168-1.17-8.97-8.32,-1602.39251898,168,-9.538050708214286
id1379-dim3-aaa-cP216-1.87-8.88-8.42,-2055.12635676,216,-9.514473873888889
id294-dim2-hne-oS16-1.92-9.07-8.49,-77.41659944,8,-9.67707493
id136-dim3-aaa-cP176-1.14-9.14-8.52,-1702.45559858,176,-9.673043173750001
id466-dim3-aaa-cI144-1.90-9.01-8.45,-688.16990372,72,-9.557915329444445
id469-dim3-aaa-cP216-1.17-9.01-8.43,-2075.02174374,216,-9.606582146944445
id493-dim3-aaa-cP192-1.13-9.01-8.40,-1845.20364637,192,-9.610435658177083
id1652-dim3-aaa-cI288-1.42-8.86-8.25,-1353.32644166,144,-9.398100289305555
id398-dim3-aaa-cF640-1.66-9.04-8.46,-1528.12874856,160,-9.5508046785
id265-dim3-aaa-cP168-1.12-9.08-8.47,-1618.15765909,168,-9.631890827916667
id437-dim3-aaa-cP120-1.45-9.02-8.41,-1141.24926897,120,-9.51041057475
id351-dim0-0-dimensional-cP152-1.25-9.05-8.42,-1464.32280223,152,-9.63370264625
id326-dim3-aaa-cP116-1.42-9.06-8.44,-1108.76663389,116,-9.558333050775863
id5-dim2-hcb-hcb-hP52-2.31-9.36-8.78,-516.41556995,52,-9.931068652884615
id231-dim3-aaa-cI240-1.56-9.09-8.47,-1146.61328646,120,-9.5551107205
id462-dim3-aaa-cP120-1.43-9.02-8.34,-1137.6879819,120,-9.4807331825
id516-dim3-aaa-cP144-0.98-9.00-8.38,-1376.51370749,144,-9.559122968680555
id257-dim3-aaa-cP104-1.45-9.08-8.49,-1000.88413667,104,-9.623885929519231
id918-dim3-aaa-cF448-2.02-8.93-8.42,-1062.74599139,112,-9.48880349455357
id375-dim3-aaa-cP168-1.91-9.04-8.50,-1617.66825496,168,-9.628977708095238
id507-dim3-aaa-cP176-1.11-9.00-8.40,-1678.80123714,176,-9.538643392840909
id476-dim3-aaa-cP104-1.53-9.01-8.41,-988.01113982,104,-9.500107113653847
id267-dim3-aaa-cI256-1.50-9.08-8.47,-1228.87400478,128,-9.60057816234375
id1594-dim3-aaa-aaa-cI480-2.29-8.86-8.35,-2251.945803,240,-9.3831075125
id452-dim3-hee-cP72-1.74-9.02-8.47,-692.59468543,72,-9.619370630972222
id1663-dim3-aaa-cP176-1.34-8.86-8.24,-1647.3988933,176,-9.360220984659092
