#Filename,#Total_Energy (eV),#Num_Atoms,#Energy_per_atom (eV)
id331-dim3-aaa-cP116-1.23-9.06-8.44,-1031.98426685,116,-8.896416093534484
id400-dim3-aaa-cP152-1.02-9.03-8.42,-1349.25742858,152,-8.876693609078947
id904-dim2-car-car-oS24-1.78-8.93-8.42,-107.01264708,12,-8.91772059
id1119-dim2-hna-hna-oP24-1.59-8.91-8.28,-422.51085105,48,-8.802309396875
id168-dim3-aaa-cP192-2.04-9.13-8.54,-1713.65204792,192,-8.925271082916668
id61-dim3-aaa-mP20-2.51-9.20-8.65,-179.70122958,20,-8.985061478999999
id473-dim3-aaa-cP176-1.10-9.01-8.40,-1562.02169269,176,-8.875123253920455
id31-dim3-aaa-oI112-2.33-9.30-8.73,-511.49634107,56,-9.133863233392857
id451-dim3-aaa-cP288-0.94-9.02-8.42,-2575.2993147,288,-8.942011509375
id1737-dim3-aaa-cP176-1.04-8.85-8.21,-1532.72473518,176,-8.70866326806818
id210-dim3-pbz-l-cP72-1.37-9.11-8.48,-644.20635757,72,-8.947310521805555
id241-dim0-0-dimensional-cP176-1.17-9.09-8.46,-1582.41224031,176,-8.990978638125
id404-dim3-aaa-cF512-1.21-9.03-8.41,-1133.10064836,128,-8.8523488153125
id511-dim3-aaa-cP192-0.96-9.00-8.39,-1703.33173664,192,-8.871519461666667
id284-dim3-aaa-cP120-1.40-9.08-8.47,-1073.13062784,120,-8.942755232
id349-dim3-aaa-cF576-1.96-9.05-8.57,-1292.05788994,144,-8.972624235694445
id56-dim2-aaa-aaa-aaa-hR126-2.06-9.21-8.65,-381.91802926,42,-9.093286410952382
id268-dim3-aaa-cF480-1.43-9.08-8.47,-1070.50842751,120,-8.920903562583334
id72-dim2-hnd(2)-mP24-2.03-9.19-8.64,-217.96222995,24,-9.08175958125
id148-dim3-pbp-l-cI144-1.33-9.14-8.50,-648.1789384,72,-9.002485255555555
id1202-dim3-aaa-cI144-1.88-8.90-8.43,-634.0515257,72,-8.806271190277776
id1100-dim3-aaa-cI120-2.13-8.91-8.47,-530.7387814,60,-8.845646356666666
id1740-dim3-hed(2)-cP96-2.50-8.85-8.42,-836.85388538,96,-8.717227972708333
id360-dim2-dhh-hcb-mP24-1.84-9.05-8.37,-214.31806016,24,-8.929919173333333
id262-dim3-aaa-cP168-1.11-9.08-8.47,-1502.76715288,168,-8.945042576666665
id672-dim3-aaa-mP24-2.34-8.97-8.52,-211.90114602,24,-8.8292144175
id334-dim3-aaa-cP168-1.21-9.05-8.42,-1488.81638015,168,-8.862002262797619
id353-dim3-aaa-cP152-1.19-9.05-8.43,-1347.67321869,152,-8.866271175592106
id232-dim3-aaa-cP128-1.41-9.09-8.46,-1144.43972986,128,-8.94093538953125
id509-dim3-aaa-cP192-0.98-9.00-8.39,-1703.25882285,192,-8.871139702343749
id951-dim3-aaa-cI168-1.80-8.93-8.40,-742.33904829,84,-8.8373696225
id7-dim2-hcb-hP2-2.29-9.36-8.78,-18.39202855,2,-9.196014275
id705-dim3-aaa-aaa-cI336-1.89-8.96-8.41,-1486.38147438,168,-8.847508776071429
id470-dim3-aaa-cP152-1.21-9.01-8.40,-1350.79814907,152,-8.886829928092105
id1727-dim3-pbp-l-cP168-1.51-8.85-8.00,-1449.83768621,168,-8.629986227440476
id316-dim3-aaa-cI288-1.25-9.06-8.44,-1277.52526685,144,-8.871703242013888
id625-dim3-aaa-cF768-1.04-8.98-8.36,-1703.39350224,192,-8.8718411575
id564-dim3-hed-cF384-1.35-8.99-8.43,-849.81976503,96,-8.8522892190625
id490-dim3-aaa-cI384-1.21-9.01-8.39,-1710.24278794,192,-8.907514520520833
id800-dim2-cem-a-mS20-1.87-8.95-8.33,-88.81555236,10,-8.881555236
id131-dim3-aaa-cP216-1.03-9.15-8.52,-1946.33089037,216,-9.01079115912037
id369-dim3-aaa-cI192-1.17-9.04-8.41,-853.13762045,96,-8.886850213020834
id100-dim3-aaa-cP192-1.07-9.16-8.54,-1733.39242188,192,-9.028085530625
id225-dim3-aaa-cI240-1.53-9.10-8.48,-1067.69077886,120,-8.897423157166665
id522-dim3-aaa-cP168-0.95-9.00-8.42,-1491.67737564,168,-8.879031997857144
id235-dim3-aaa-cP176-1.20-9.09-8.46,-1566.62499213,176,-8.901278364375
id62-dim3-aaa-hP42-2.10-9.20-8.62,-378.32933861,42,-9.00784139547619
id245-dim3-aaa-cP216-0.89-9.09-8.47,-1933.54437291,216,-8.951594319027778
id38-dim3-aaa-mP40-2.38-9.28-8.71,-364.12877916,40,-9.103219479
id6-dim2-hcb-hcb-hP4-2.34-9.36-8.78,-36.82223929,4,-9.2055598225
id285-dim3-aaa-cP120-1.42-9.07-8.47,-1073.09853904,120,-8.942487825333334
id512-dim3-aaa-aaa-cI336-2.10-9.00-8.46,-1484.14880052,168,-8.834219050714285
id669-dim3-aaa-cP168-1.17-8.97-8.32,-1488.79503121,168,-8.861875185773808
id1379-dim3-aaa-cP216-1.87-8.88-8.42,-1905.18866074,216,-8.820317873796297
id294-dim2-hne-oS16-1.92-9.07-8.49,-71.87444521,8,-8.98430565125
