spg,key_a,key_b,key_c,key_alpha,key_beta,key_gamma,rows,bad_rows,bad_fraction,ti_ti_min,ti_ti_max,ti_o_min,ti_o_max,o_o_min,o_o_max
11,9.545543,3.254659,4.693101,1.570796,1.570796,1.570796,64,60,0.9375,3.0450240495352574,3.2546586990356445,1.0381104015098563,1.9302523196528096,2.1807971685572185,2.2306024170050875
31,3.254659,9.545543,4.693101,1.570796,1.570796,1.570796,64,60,0.9375,2.833087180514956,3.2546586990356445,1.038447343654945,1.9063851005523529,1.5255796916423106,2.206334107171311
62,9.647066,3.244297,9.288817,1.570796,1.570796,1.570796,300,259,0.8633333333333333,2.8742793838373064,2.990523811417916,0.9961910452045314,1.9036184711614,1.4900253625455846,2.2026217451064065
62,9.481838,3.232352,10.873156,1.570796,1.570796,1.570796,300,251,0.8366666666666667,2.870222067826691,3.044878926306072,1.0048918744651598,1.9031115287315536,1.5175064597475338,2.2169464036846205
160,6.170501,6.170501,14.103341,1.570796,1.570796,2.094395,300,238,0.7933333333333333,0.2651797334633698,2.95266065739429,0.6086169653667783,2.394971892897962,0.0121451793795153,2.1092074179108824
186,6.406211,6.406211,7.759319,1.570796,1.570796,2.094395,300,236,0.7866666666666666,0.0518893729296792,3.177160572291712,0.6122545340217584,2.9201425187817103,0.5625236828696256,2.113597020573999
11,5.585138,3.703804,8.783986,1.570796,1.570796,1.570796,64,48,0.75,3.1567633549992964,3.156763456554863,0.6378861500818677,1.9586834059522087,1.7136566429764963,2.324233761542845
31,3.703804,5.585138,8.783986,1.570796,1.570796,1.570796,64,48,0.75,2.5565168801224787,3.1567895737893097,0.6378117346918523,1.9586590560591977,1.4049241901620102,2.324511566061308
62,9.545543,3.254659,4.693101,1.570796,1.570796,1.570796,64,48,0.75,3.2546586990356445,3.2546586990356445,1.0385419822786477,1.9063688131590768,2.180993039725453,2.206307650621852
12,12.363491,3.601823,6.316546,1.570796,1.86425,1.570796,300,216,0.72,2.4143070342313555,2.895569073973804,0.7038850409304912,1.933581234285286,1.618001646979186,2.2326808875762003
166,3.242764,3.242764,30.81628,1.570796,1.570796,2.094395,100,65,0.65,3.242763724183712,3.242763724183712,0.5664119944663071,1.9560149818318264,1.1328274329203225,2.1882569533478198
166,3.242764,3.242764,27.816142,1.570796,1.570796,2.094395,100,62,0.62,3.242763724183712,3.242763724183712,0.5664093888676689,1.9560151875293663,1.1328254096201815,2.188257120802529
160,3.242764,3.242764,13.851858,1.570796,1.570796,2.094395,27,15,0.5555555555555556,3.242763724183712,3.242763724183712,0.5664120878482208,1.9560152664805912,1.1328258269666094,2.18825690596877
160,3.242764,3.242764,15.394643,1.570796,1.570796,2.094395,27,15,0.5555555555555556,3.242763724183712,3.242763724183712,0.5664113589955377,1.9560153292386404,1.132826388360172,2.188257082623269
159,6.406211,6.406211,7.759319,1.570796,1.570796,2.094395,100,54,0.54,2.23097555703311,3.1772007655791854,0.6120038636445315,1.931770199869849,1.6835136127567734,2.1138541624382188
59,6.512711,8.509505,5.562953,1.570796,1.570796,1.570796,300,156,0.52,3.2229453147606195,3.2229456009162103,1.930016572812008,1.931646223022658,0.0026938622936013,2.0812167019772656
59,6.512565,8.404722,5.563294,1.570796,1.570796,1.570796,300,152,0.5066666666666667,3.223101086641351,3.223101086722709,1.9314540809683207,1.932095984704869,0.0008609118896145,2.08117659643917
62,5.585138,3.703804,8.783986,1.570796,1.570796,1.570796,64,32,0.5,3.15661029986988,3.15661029986988,0.6378077258515925,1.958657750636404,1.713712138956313,2.3244552406692893
164,3.242764,3.242764,15.429068,1.570796,1.570796,2.094395,16,8,0.5,3.2427639902649026,3.2427639902649026,0.5664124762006395,1.9560136756389208,2.188250448792608,2.188250567813
164,3.242773,3.242773,13.856882,1.570796,1.570796,2.094395,16,8,0.5,3.242773056030273,3.242773056030273,0.5663853943214576,1.9560125643418629,2.1882402999645816,2.1882402999645816
173,6.353699,6.353699,7.781806,1.570796,1.570796,2.094395,100,48,0.48,2.2313163938409373,3.1735632870326693,0.6064322248903409,1.926931706318869,1.8053459435066492,2.1244903181599413
74,5.921424,6.495823,6.500024,1.570796,1.570796,1.570796,300,133,0.44333333333333336,1.4812323007630304,2.96071195602417,1.2698379378419435,1.950625924378604,2.2547327306927145,2.538728840647991
161,6.170501,6.170501,28.206681,1.570796,1.570796,2.094395,100,43,0.43,2.3733503406666667,2.95265550837691,1.0621308377294554,1.9021371378450136,1.7518179116650572,2.109194532207186
148,6.773419,6.773419,8.383806,1.570796,1.570796,2.094395,100,39,0.39,3.386709162901308,3.386709162901308,0.1531377913100868,1.918844209682922,0.3062755826201737,2.488325827307335
